Kab/Kota,IPM_2024,RLS_2024,P0_2024,D1_SPBE,D2_SPBE,D3_SPBE,D4_SPBE,Cluster
Musi Banyuasin,70.12,7.95,12.88,4.6,3.6,2.18,3.87,2
Musi Rawas,68.95,7.57,13.44,4.2,2.4,1.09,3.87,0
Musi Rawas Utara,67.4,7.51,17.38,3,1.3,1,3.3,0
Nabire,71.77,10.42,24,2.2695,1.3582,1.053,3.122,0
Nagan Raya,71.72,9.25,16.94,3.3,2.5,1.27,3.69,0
Nagekeo,67.72,8.23,12.3,2.7888,1.7791,1.3984,3.3039,0
Natuna,74.56,9.2,5.04,4,3.4,2.73,3.94,2
Nduga,36.3,1.92,36.28,1,1,1,2.1,1
Ngada,69.52,8.83,11.87,3,1,1,3.01,0
Nganjuk,74.23,8.25,10.17,4.7,4,2.45,4.02,2
Ngawi,73.09,7.84,13.81,4.8,3.2,1.82,4.14,2
Nias,65.55,6.4,14.89,4.9,3.1,1.73,4.45,2
Nias Barat,64.67,7.26,22.68,1,1.1,1,2.7,1
Nias Selatan,65.02,6.52,16.32,2.8,2.2,1.55,3.81,0
Nias Utara,65.62,7.05,21.5,3,1.3,1,3.37,0
Nunukan,68.52,8.39,5.73,2.8,2.5,1,3.81,0
Ogan Ilir,69.4,8.09,12.3,3.7,2.1,1,3.88,0
Ogan Komering Ilir,69.33,7.19,12.08,3.6,3.2,2.64,4.07,2
Ogan Komering Ulu,71.55,8.86,10.68,2.4,1.9,1.09,3.63,0
Ogan Komering Ulu Selatan,67.65,8.25,9.86,2,1.3,1,3.63,0
Ogan Komering Ulu Timur,71.55,8.08,9.75,3,2,1,3.42,0
Pacitan,70.74,7.9,13.08,4.7,3,2.09,3.94,2
Padang,83.99,11.63,4.06,4.7,3.7,2.45,4.44,2
Padang Lawas,71.27,9.63,7.87,2.3,1.4,1,2.99,0
Padang Lawas Utara,72.32,9.82,8.97,3,1.3,1,3.03,0
Padang Panjang,80.17,12,5.31,3.6,2.9,1.36,3.82,2
Padang Pariaman,73.1,8.42,6.27,3.6,3.5,2.82,3.74,2
Padangsidimpuan,76.96,11.13,6.23,2.8,2,1.09,3.56,0
Pagar Alam,71.19,9.44,8.18,3,1.2,1,3.69,0
Pakpak Bharat,70.36,9.73,6.87,2.7,2.3,1,3.45,0
Palangka Raya,82.2,11.66,3.52,3.4,3.3,2.09,4.69,2
Palembang,80.57,10.93,9.77,4,2.9,3,3.88,2
Palopo,79.94,11.16,7.35,3.7,2.2,1,4.24,0
Palu,82.88,11.75,5.94,3.1,1.9,1,3.37,0
Pamekasan,68.49,7.17,13.41,5,4.4,3,3.68,2
Pandeglang,66.99,7.16,9.18,3.1,2.8,2.64,4.19,2
Pangandaran,69.85,8.1,8.75,5,2.9,1.82,4.13,2
Pangkajene Dan Kepulauan,71.22,8.47,12.41,4,1.1,1,3.69,0
Pangkal Pinang,80.4,10.67,4.04,4.7,3.5,1.27,4.64,2
Paniai,58.69,4.81,37.07,1.9504,1.1541,1.0112,2.372,1
Parepare,79.64,10.88,5.27,2.8,1.2,1,3.94,0
Pariaman,78.88,11.06,4.26,4,2.9,1.73,4.19,2
Parigi Moutong,67.49,8.05,14.2,3.2,1.9,1.09,3.62,0
Pasaman,68.89,8.14,6.74,1.9,1.9,2,3.56,0
Pasaman Barat,70.93,8.99,7,5,3.3,2.36,3.95,2
Paser,74.7,8.92,8.63,3.9,3,2.36,3.56,2
Pasuruan,70.73,7.46,8.63,5,3.4,1.82,4.57,2
Kota Pasuruan,77.75,9.94,6.32,4.9,3.4,2.73,4.7,2
Pati,74.1,7.82,9.17,4.5,3.5,2.27,4.2,2
Payakumbuh,80.61,10.89,5.19,3.3,3.4,2.36,4.57,2
Pegunungan Arfak,58.73,5.72,31.76,2.3487,1.2617,1.0237,2.6528,1
Pegunungan Bintang,49.36,3.51,28.95,1.3492,1.0469,1.0008,1.9199,1
Pekalongan,71.84,7.48,8.95,2.9,2.4,1.91,3.87,0
Kota Pekalongan,77.22,9.34,6.71,4.4,3.3,2.55,4.27,2
Pekanbaru,82.89,11.96,3.15,4.8,3.7,2.36,4.2,2
Pelalawan,74.08,8.96,8.49,1.4,1.5,1.73,3.64,0
Pemalang,68.55,6.56,14.92,2.3,2.4,1.55,4.14,0
Pematang Siantar,81.17,11.82,7.2,3.5,2.7,1.36,3.74,2
Penajam Paser Utara,73.9,8.57,6.69,3,2.7,1.27,3.51,0
Penukal Abab Lematang Ilir,67.48,7.27,9.82,2.8,2.1,1.27,3.43,0
Pesawaran,68.52,8,11.86,4.6,3,2.64,3.75,2
Pesisir Barat,66.73,8.73,12.64,3.1,2.6,1.64,3.54,0
Pesisir Selatan,72.02,8.81,7.49,5,4.1,3.36,4.38,2
Pidie,72.31,9.04,18.59,2.7,1.4,1,3.04,0
Pidie Jaya,75.16,9.59,18.28,2.5,1.3,1,3.95,0
Pinrang,73.55,8.53,8.55,4.3,3.3,1.36,4.14,2
Pohuwato,68.02,7.78,17.11,1.6,1.4,1,3.94,0
Polewali Mandar,66.22,7.72,15.66,4,3.6,3.18,4.26,2
Ponorogo,73.01,7.8,9.11,3,2.6,1.45,3.94,0
Pontianak,81.57,10.47,4.2,3.6,3.4,1.73,4.14,2
Poso,72.87,9.54,14.23,3,2.2,1,3.11,0
Prabumulih,77.08,10.36,10.13,3.7,2.9,2.55,3.83,2
Pringsewu,72.29,8.53,8.32,3.1,2.4,2.09,3.75,0
Probolinggo,68.29,6.31,16.45,4.4,3.7,2.18,4.64,2
Kota Probolinggo,76.27,9.72,6.18,4.1,3.8,2.73,4.63,2
Pulang Pisau,70.27,8.42,4.56,4.2,2.3,1.82,3.82,2
Pulau Morotai,65.68,7.73,5.11,1.2,1.1,1,3.03,0
Pulau Taliabu,62.9,7.99,7.13,2.7,1,1,2.92,0
